port_id,rdate,p_close,daily_return
BG001,7/2/2020,450.3507,0.002622376
BG001,7/3/2020,450.3507,0
BG001,7/6/2020,455.8414,0.012192054
BG001,7/7/2020,451.8493,-0.008757651
BG001,7/8/2020,455.0789,0.007147516
BG001,7/9/2020,452.3431,-0.006011705
BG001,7/10/2020,453.0188,0.001493778
BG001,7/13/2020,447.1902,-0.012866133
BG001,7/14/2020,453.9775,0.015177658
BG001,7/15/2020,459.0282,0.011125441
BG001,7/16/2020,457.0489,-0.004311936
BG001,7/17/2020,459.7698,0.005953192
BG001,7/20/2020,464.8993,0.01115667
BG001,7/21/2020,465.076,0.000380082
BG001,7/22/2020,468.6705,0.007728844
BG001,7/23/2020,463.1131,-0.011857798
BG001,7/24/2020,461.5799,-0.003310638
BG001,7/27/2020,465.6546,0.008827724
BG001,7/28/2020,462.7118,-0.006319706
BG001,7/29/2020,469.6857,0.015071801
BG001,7/30/2020,467.1056,-0.005493248
BG001,7/31/2020,468.0403,0.002001046
BG001,8/3/2020,471.7299,0.007883082
BG001,8/4/2020,474.5981,0.006080174
BG001,8/5/2020,475.2245,0.001319854
BG001,8/6/2020,477.8358,0.005494877
BG001,8/7/2020,477.1512,-0.00143271
BG001,8/10/2020,477.2435,0.00019344
BG001,8/11/2020,476.8044,-0.000920075
BG001,8/12/2020,484.3793,0.015886808
BG001,8/13/2020,483.1117,-0.002616957
BG001,8/14/2020,481.2297,-0.003895579
BG001,8/17/2020,484.5952,0.006993542
BG001,8/18/2020,484.6977,0.000211517
BG001,8/19/2020,481.9265,-0.005717378
BG001,8/20/2020,483.7736,0.003832742
BG001,8/21/2020,485.068,0.002675632
BG001,8/24/2020,487.7781,0.005587052
BG001,8/25/2020,490.75,0.006092729
BG001,8/26/2020,494.763,0.00817728
BG001,8/27/2020,495.3698,0.001226446
BG001,8/28/2020,498.9813,0.007290513
BG001,8/31/2020,496.5237,-0.004925235
BG001,9/1/2020,499.8432,0.006685481
BG001,9/2/2020,509.2916,0.018902728
BG001,9/3/2020,490.9868,-0.035941688
BG001,9/4/2020,485.9607,-0.010236731
BG001,9/7/2020,485.9607,0
BG001,9/8/2020,474.5479,-0.023485027
BG001,9/9/2020,486.0234,0.024181964
BG001,9/10/2020,480.5612,-0.011238554
BG001,9/11/2020,481.6014,0.002164553
BG001,9/14/2020,488.6319,0.014598172
BG001,9/15/2020,493.2945,0.009542152
BG001,9/16/2020,491.6133,-0.003408106
BG001,9/17/2020,487.5928,-0.008178176
BG001,9/18/2020,482.4068,-0.010635924
BG001,9/21/2020,477.086,-0.011029695
BG001,9/22/2020,481.9431,0.010180764
BG001,9/23/2020,470.4434,-0.023861116
BG001,9/24/2020,472.0133,0.003337065
BG001,9/25/2020,481.034,0.019111114
BG001,9/28/2020,487.859,0.014188186
BG001,9/29/2020,485.6317,-0.004565458
BG001,9/30/2020,489.075,0.007090353
BG001,10/1/2020,492.92,0.00786178
BG001,10/2/2020,487.7973,-0.010392559
BG001,10/5/2020,494.0363,0.012790149
BG001,10/6/2020,488.8397,-0.01051866
BG001,10/7/2020,494.8489,0.012292782
BG001,10/8/2020,498.1264,0.006623234
BG001,10/9/2020,503.6442,0.011077108
BG001,10/12/2020,510.144,0.012905539
BG001,10/13/2020,508.5305,-0.003162832
BG001,10/14/2020,504.7914,-0.007352755
BG001,10/15/2020,504.3662,-0.000842328
BG001,10/16/2020,505.4936,0.002235281
BG001,10/19/2020,497.0611,-0.016681715
BG001,10/20/2020,498.5603,0.003016128
BG001,10/21/2020,497.4816,-0.00216363
BG001,10/22/2020,497.2088,-0.000548362
BG001,10/23/2020,499.5385,0.004685557
BG001,10/26/2020,489.455,-0.020185631
BG001,10/27/2020,488.0215,-0.002928768
BG001,10/28/2020,471.7821,-0.033275993
BG001,10/29/2020,476.1043,0.009161433
BG001,10/30/2020,471.6843,-0.00928368
BG001,11/2/2020,477.9458,0.013274769
BG001,11/3/2020,484.6238,0.013972296
BG001,11/4/2020,498.2344,0.028084877
BG001,11/5/2020,504.4768,0.012529043
BG001,11/6/2020,505.0548,0.001145741
BG001,11/9/2020,508.0065,0.005844316
BG001,11/10/2020,504.8444,-0.006224527
BG001,11/11/2020,510.7262,0.011650719
BG001,11/12/2020,505.1171,-0.010982597
BG001,11/13/2020,511.9552,0.013537653
BG001,11/16/2020,516.9861,0.009826836
BG001,11/17/2020,512.9684,-0.007771389
BG001,11/18/2020,508.2543,-0.009189845
BG001,11/19/2020,510.4529,0.004325787
BG001,11/20/2020,505.4102,-0.009878874
BG001,11/23/2020,507.0208,0.003186718
BG001,11/24/2020,511.5517,0.00893632
BG001,11/25/2020,512.3974,0.001653205
BG001,11/26/2020,512.3974,0
BG001,11/27/2020,514.7749,0.004639953
BG001,11/30/2020,516.6612,0.00366432
BG001,12/1/2020,520.6556,0.007731179
BG001,12/2/2020,517.4352,-0.006185279
BG001,12/3/2020,516.6646,-0.001489269
BG001,12/4/2020,523.0601,0.012378437
BG001,12/7/2020,520.9543,-0.004025924
BG001,12/8/2020,521.8507,0.001720688
BG001,12/9/2020,517.4214,-0.008487677
BG001,12/10/2020,515.5314,-0.003652729
BG001,12/11/2020,514.8233,-0.001373534
BG001,12/14/2020,515.4099,0.00113942
BG001,12/15/2020,519.3829,0.007708428
BG001,12/16/2020,520.0218,0.001230114
BG001,12/17/2020,524.7085,0.009012507
BG001,12/18/2020,526.8809,0.004140204
BG001,12/21/2020,521.8934,-0.009466086
BG001,12/22/2020,521.2386,-0.001254662
BG001,12/23/2020,518.5751,-0.005109944
BG001,12/24/2020,522.5053,0.007578844
BG001,12/25/2020,522.5053,0
BG001,12/28/2020,526.9997,0.008601635
BG001,12/29/2020,525.9067,-0.002074005
BG001,12/30/2020,527.6673,0.003347742
BG001,12/31/2020,533.0946,0.010285458
BG001,1/1/2021,533.0946,0
BG001,1/4/2021,524.8914,-0.015387888
BG001,1/5/2021,524.7738,-0.000224046
BG001,1/6/2021,529.659,0.009309154
BG001,1/7/2021,536.4268,0.012777655
BG001,1/8/2021,539.6908,0.006084707
BG001,1/11/2021,537.6823,-0.003721575
BG001,1/12/2021,535.2043,-0.004608669
BG001,1/13/2021,531.8921,-0.006188665
BG001,1/14/2021,527.2891,-0.008654011
BG001,1/15/2021,526.5955,-0.001315407
BG001,1/18/2021,526.5955,0
BG001,1/19/2021,531.4705,0.00925758
BG001,1/20/2021,537.3944,0.011146244
BG001,1/21/2021,537.073,-0.000598071
BG001,1/22/2021,532.8677,-0.007830034
BG001,1/25/2021,534.015,0.002153067
BG001,1/26/2021,531.9076,-0.003946331
BG001,1/27/2021,515.5291,-0.030792002
BG001,1/28/2021,523.1714,0.014824187
BG001,1/29/2021,513.2641,-0.018937006
BG001,2/1/2021,523.8009,0.020529003
BG001,2/2/2021,532.626,0.016848196
BG001,2/3/2021,527.3802,-0.009848937
BG001,2/4/2021,532.55,0.009802795
BG001,2/5/2021,535.045,0.004685006
BG001,2/8/2021,539.3698,0.008083058
BG001,2/9/2021,539.1311,-0.000442554
BG001,2/10/2021,538.6282,-0.000932797
BG001,2/11/2021,544.0189,0.010008202
BG001,2/12/2021,546.6024,0.004748916
BG001,2/15/2021,546.6024,0
BG001,2/16/2021,544.3747,-0.00407554
BG001,2/17/2021,543.6793,-0.001277429
BG001,2/18/2021,544.207,0.000970609
BG001,2/19/2021,541.6003,-0.004789905
BG001,2/22/2021,534.3443,-0.013397334
BG001,2/23/2021,532.6185,-0.003229753
BG001,2/24/2021,538.6735,0.011368362
BG001,2/25/2021,526.5531,-0.022500457
BG001,2/26/2021,528.7377,0.004148869
BG001,3/1/2021,541.8224,0.024747053
BG001,3/2/2021,535.8674,-0.010990686
BG001,3/3/2021,525.8823,-0.018633528
BG001,3/4/2021,514.1641,-0.022282933
BG001,3/5/2021,525.1465,0.021359718
BG001,3/8/2021,521.8615,-0.006255397
BG001,3/9/2021,533.061,0.021460675
BG001,3/10/2021,533.0914,5.70E-05
BG001,3/11/2021,541.9245,0.016569579
BG001,3/12/2021,541.7596,-0.000304286
BG001,3/15/2021,545.63,0.007144128
BG001,3/16/2021,549.1945,0.006532815
BG001,3/17/2021,547.6102,-0.00288477
BG001,3/18/2021,538.4597,-0.016709879
BG001,3/19/2021,538.0895,-0.000687517
BG001,3/22/2021,544.8196,0.012507399
BG001,3/23/2021,543.6742,-0.002102347
BG001,3/24/2021,545.3798,0.003137173
BG001,3/25/2021,545.7872,0.000747002
BG001,3/26/2021,562.1548,0.029988977
BG001,3/29/2021,561.3048,-0.001512039
BG001,3/30/2021,554.9684,-0.011288697
BG001,3/31/2021,559.0882,0.007423486
BG001,4/1/2021,568.6065,0.017024684
BG001,4/2/2021,568.6065,0
BG001,4/5/2021,578.7202,0.017786817
BG001,4/6/2021,575.7719,-0.005094517
BG001,4/7/2021,574.7532,-0.001769277
BG001,4/8/2021,577.4679,0.004723245
BG001,4/9/2021,581.333,0.006693186
BG001,4/12/2021,581.3324,-1.03E-06
BG001,4/13/2021,582.8043,0.002531942
BG001,4/14/2021,580.4336,-0.004067746
BG001,4/15/2021,587.6161,0.01237437
BG001,4/16/2021,590.6781,0.005210885
BG001,4/19/2021,585.2494,-0.009190623
BG001,4/20/2021,584.7078,-0.000925417
BG001,4/21/2021,589.6411,0.008437206
BG001,4/22/2021,587.5456,-0.003553857
BG001,4/23/2021,593.9729,0.010939236
BG001,4/26/2021,592.4837,-0.002507185
BG001,4/27/2021,592.3187,-0.000278489
BG001,4/28/2021,587.6919,-0.007811335
BG001,4/29/2021,592.0082,0.007344495
BG001,4/30/2021,587.2298,-0.00807151
BG001,5/3/2021,589.5659,0.00397817
BG001,5/4/2021,587.3719,-0.003721382
BG001,5/5/2021,586.7775,-0.001011965
BG001,5/6/2021,590.5717,0.006466165
BG001,5/7/2021,595.3838,0.008148206
BG001,5/10/2021,590.478,-0.008239727
BG001,5/11/2021,586.9624,-0.00595382
BG001,5/12/2021,571.7924,-0.025844926
BG001,5/13/2021,580.8053,0.015762539
BG001,5/14/2021,587.4691,0.01147338
BG001,5/17/2021,582.9492,-0.007693851
BG001,5/18/2021,580.1634,-0.004778804
BG001,5/19/2021,580.2592,0.000165126
BG001,5/20/2021,589.3584,0.015681268
BG001,5/21/2021,588.5601,-0.001354524
BG001,5/24/2021,593.6132,0.008585529
BG001,5/25/2021,594.6204,0.001696728
BG001,5/26/2021,594.0625,-0.000938246
BG001,5/27/2021,596.1501,0.003514108
BG001,5/28/2021,597.3021,0.001932399
BG001,5/31/2021,597.3021,0
BG001,6/1/2021,592.395,-0.008215441
BG001,6/2/2021,594.8671,0.00417306
BG001,6/3/2021,592.6275,-0.003764875
BG001,6/4/2021,598.5628,0.010015229
BG001,6/7/2021,595.4573,-0.005188261
BG001,6/8/2021,595.1848,-0.000457631
BG001,6/9/2021,595.1462,-6.49E-05
BG001,6/10/2021,600.7406,0.009400043
BG001,6/11/2021,602.6988,0.003259643
BG001,6/14/2021,605.6103,0.004830771
BG001,6/15/2021,604.3022,-0.00215997
BG001,6/16/2021,599.4651,-0.008004439
BG001,6/17/2021,603.3554,0.006489619
BG001,6/18/2021,595.5618,-0.012917097
BG001,6/21/2021,604.087,0.014314551
BG001,6/22/2021,607.7967,0.006141003
BG001,6/23/2021,605.9332,-0.003065992
BG001,6/24/2021,609.4375,0.005783311
BG001,6/25/2021,611.2142,0.002915311
BG001,6/28/2021,614.3625,0.005150895
BG001,6/29/2021,616.8129,0.003988525
BG001,6/30/2021,615.0454,-0.002865537
BG001,7/1/2021,616.8416,0.002920435
BG001,7/2/2021,621.4862,0.007529648
BG001,7/5/2021,621.4862,0
BG001,7/6/2021,621.5712,0.000136769
BG001,7/7/2021,626.0343,0.007180352
BG001,7/8/2021,620.5572,-0.008748882
BG001,7/9/2021,625.4616,0.00790322
BG001,7/12/2021,627.3139,0.002961493
BG001,7/13/2021,626.69,-0.000994558
BG001,7/14/2021,628.6436,0.003117331
BG001,7/15/2021,627.3791,-0.002011474
BG001,7/16/2021,627.2268,-0.000242756
BG001,7/19/2021,619.5108,-0.01230177
BG001,7/20/2021,628.7051,0.014841226
BG001,7/21/2021,631.9323,0.00513309
BG001,7/22/2021,632.654,0.001142053
BG001,7/23/2021,642.1818,0.015060049
BG001,7/26/2021,639.5843,-0.004044805
BG001,7/27/2021,636.337,-0.005077204
BG001,7/28/2021,633.6551,-0.004214591
BG001,7/29/2021,636.6748,0.004765526
BG001,7/30/2021,637.2994,0.000981035
BG001,8/2/2021,634.9832,-0.003634399
BG013,6/4/2013,100,
BG013,6/5/2013,98.6392,-0.013608
BG013,6/6/2013,98.4025,-0.002399654
BG013,6/7/2013,98.5872,0.001876985
BG013,6/10/2013,98.4317,-0.001577284
BG013,6/11/2013,97.578,-0.008673019
BG013,6/12/2013,96.9293,-0.006648015
BG013,6/13/2013,96.964,0.000357993
BG013,6/14/2013,96.5102,-0.004680087
BG013,6/17/2013,97.0955,0.006064644
BG013,6/18/2013,98.2716,0.012112817
BG013,6/19/2013,98.3805,0.001108153
BG013,6/20/2013,97.1257,-0.01275456
BG013,6/21/2013,96.6999,-0.00438401
BG013,6/24/2013,95.2731,-0.014754927
BG013,6/25/2013,97.2898,0.02116757
BG013,6/26/2013,97.745,0.004678805
BG013,6/27/2013,98.1428,0.004069773
BG013,6/28/2013,99.2127,0.010901462
BG013,7/1/2013,99.2127,0
BG013,7/2/2013,99.3887,0.001773966
BG013,7/3/2013,99.7853,0.003990393
BG013,7/4/2013,100.3759,0.005918707
BG013,7/5/2013,100.724,0.003467964
BG013,7/8/2013,100.6882,-0.000355427
BG013,7/9/2013,100.9076,0.002179004
BG013,7/10/2013,101.5944,0.006806227
BG013,7/11/2013,102.6447,0.010338168
BG013,7/12/2013,102.9415,0.002891528
BG013,7/15/2013,103.3899,0.004355872
BG013,7/16/2013,103.2448,-0.001403425
BG013,7/17/2013,103.8025,0.005401725
BG013,7/18/2013,104.7538,0.009164519
BG013,7/19/2013,104.6007,-0.001461522
BG013,7/22/2013,104.8169,0.002066908
BG013,7/23/2013,104.4225,-0.003762752
BG013,7/24/2013,104.3665,-0.000536283
BG013,7/25/2013,104.377,0.000100607
BG013,7/26/2013,103.923,-0.004349617
BG013,7/29/2013,104.2542,0.003186975
BG013,7/30/2013,102.8122,-0.013831577
BG013,7/31/2013,102.3229,-0.004759163
BG013,8/1/2013,103.3021,0.009569705
BG013,8/2/2013,103.0808,-0.00214226
BG013,8/5/2013,103.0808,0
BG013,8/6/2013,102.1843,-0.008697061
BG013,8/7/2013,102.5891,0.00396147
BG013,8/8/2013,103.685,0.010682421
BG013,8/9/2013,102.2358,-0.013976949
BG013,8/12/2013,102.4808,0.002396421
BG013,8/13/2013,102.2624,-0.002131131
BG013,8/14/2013,102.0307,-0.00226574
BG013,8/15/2013,101.8475,-0.001795538
BG013,8/16/2013,101.9722,0.00122438
BG013,8/19/2013,100.8531,-0.01097456
BG013,8/20/2013,101.3141,0.004571005
BG013,8/21/2013,100.7648,-0.005421753
BG013,8/22/2013,101.0754,0.003082426
BG013,8/23/2013,101.6124,0.005312865
BG013,8/26/2013,101.2993,-0.003081317
BG013,8/27/2013,100.1658,-0.011189613
BG013,8/28/2013,100.7747,0.006078921
BG013,8/29/2013,101.6538,0.00872342
BG013,8/30/2013,101.8306,0.001739237
BG013,9/2/2013,101.8306,0
BG013,9/3/2013,102.3276,0.004880655
BG013,9/4/2013,103.3965,0.010445862
BG013,9/5/2013,103.8584,0.004467269
BG013,9/6/2013,103.8661,7.41E-05
BG013,9/9/2013,104.2033,0.003246488
BG013,9/10/2013,104.7353,0.005105405
BG013,9/11/2013,105.1377,0.003842067
BG013,9/12/2013,104.8685,-0.002560452
BG013,9/13/2013,105.3177,0.00428346
BG013,9/16/2013,105.8834,0.005371367
BG013,9/17/2013,105.95,0.000628994
BG013,9/18/2013,106.5575,0.005733837
BG013,9/19/2013,106.5713,0.000129508
BG013,9/20/2013,106.3074,-0.002476276
BG013,9/23/2013,106.8095,0.004723095
