fsym_id,bbgid
FGSXYG-R,BBG000BKLV46
NYJHHY-R,BBG000DYGNW7
X1SCTR-R,BBG000C13CD9
HMWRJ6-R,BBG000K3T543
CQDKJQ-R,BBG000H5MYP3
JNTPK7-R,BBG000BKSL41
TNZ1G6-R,BBG000BP0KQ8
LTP334-R,BBG000BK67C7
RT7HCR-R,BBG000BVWZF9
KTPK4Q-R,BBG0035LY913
M2LCXB-R,BBG000DYTTG8
GRMY8C-R,BBG000BH3JF8
QCWHZC-R,BBG000BJV7P8
QD8WKZ-R,BBG000C4ZZ10
FJ3VWR-R,BBG000BJQ1B2
GGPTR9-R,BBG000FJRZ68
QVGCXK-R,BBG000C0CSW5
DXV75Z-R,BBG000BSZXM0
SFC1HV-R,BBG000BV7YT5
CZGY1P-R,BBG000FXYZF9
NMGMBX-R,BBG00DYPZ4T0
KYCY91-R,BBG000BLGFJ9
D8HQP8-R,BBG000GMM115
HTM0LK-R,BBG009S39JX6
MS9FKZ-R,BBG000BS5CM9
NPJW7K-R,BBG000BB6KF5
LKVSZR-R,BBG000BNW1S8
HXZ458-R,BBG000DSMS70
XKPH9J-R,BBG000BRRG02
T9M9M3-R,BBG000P1F8Q7
DJCHM1-R,BBG000C6CM73
V2G2MF-R,BBG000BK40L4
PP472P-R,BBG000D6YC07
NSYBHN-R,BBG000FHPQ73
MCNYYL-R,BBG000BVPV84
FYMD7N-R,BBG000H68HR2
NDGT5S-R,BBG000BP2H92
CSFJSZ-R,BBG005P7Q881
NBCR2Q-R,BBG000BFF1J4
KYKCS8-R,BBG000VMWHH5
F1B8CH-R,BBG000VPGNR2
JCTNCC-R,BBG000KCJ198
BPQJL3-R,BBG000BL8NG4
LVYTWF-R,BBG000KCZPC3
SVZ8Y7-R,BBG000BLN905
X6K6SH-R,BBG000BVCDS6
G90MPY-R,BBG000BV75B7
F4NVTL-R,BBG000BGBRG2
R3J43T-R,BBG000FG3C43
F05QG0-R,BBG000P458P3
LRMHTG-R,BBG000BGVC64
GZMRSV-R,BBG000BN2DC2
Q774MW-R,BBG000BB1TH9
TSMGSN-R,BBG000BH20V2
D8D864-R,BBG000BKQ5R3
BZPFLX-R,BBG000BL46Q4
RPNJRM-R,BBG000C2PW58
C7M58J-R,BBG000BCX7G1
LZBPWV-R,BBG000BPQD31
