fsym_id,bbgid
RYMLZH-R,BBG000BGKGP6
HVQ2KJ-R,BBG000H3FZM6
F725KB-R,BBG000BW1M06
CN3ZYH-R,BBG000BJ5R00
NNL4JN-R,BBG000G2K371
M8CS1P-R,BBG000G8Y0Q8
QR56YK-R,BBG000BG3HG3
NCCJTM-R,BBG000BKQG80
LHLHXS-R,BBG000BSMHZ5
G7VZQH-R,BBG000BKWSR6
HG5HKZ-R,BBG000BW2PZ0
TSCB80-R,BBG000DSC9D6
D68983-R,BBG000BFVXX0
C6QT2V-R,BBG000BBCD82
D7HXYC-R,BBG000BFKYQ8
CYB6Y5-R,BBG000BMX289
W8YRN3-R,BBG003CVMLQ2
LR9GT5-R,BBG000BB9NB0
P0XT7P-R,BBG000BKRK35
PFF98B-R,BBG000BQX2N3
HSDM8G-R,BBG000BCP4L1
RXG6KB-R,BBG000C22QV7
VBN9H0-R,BBG000JWD753
CJTQXJ-R,BBG000N746D6
FR4YZK-R,BBG000R06BX2
NPK3PS-R,BBG000J6XT05
DR9KSW-R,BBG000BHC2S1
LC0H1H-R,BBG000BLBVN4
SHNDLT-R,BBG000B9ZXB4
QG2Q1C-R,BBG000BH93Y6
J2LVSN-R,BBG004MN1R41
XNRMXZ-R,BBG000F395V1
RVC5J9-R,BBG000D8RG11
CJQN0M-R,BBG000BBMT95
V1H7QF-R,BBG000FJLFX8
XKPF5G-R,BBG000BTR593
L7M79Q-R,BBG000LC1FS4
JDYHV2-R,BBG000BRX7N0
K9460X-R,BBG000MW0PF2
HSFL3C-R,BBG000BRJ809
G6RN78-R,BBG000BBSX81
JLJ0VZ-R,BBG000C6CFJ5
CJVKH9-R,BBG000BFS7D3
KYJFW8-R,BBG000BQZMH4
KHX8Q2-R,BBG000BN84F3
JJ7V03-R,BBG000CKVSG8
TVTFDF-R,BBG000BCVJ77
VYYSYP-R,BBG000BH3ZL5
V9DZD1-R,BBG000C7B436
MJB531-R,BBG000JB27Y9
C0SKV2-R,BBG000BN0G82
K93YKP-R,BBG000BV52H0
JH1XLG-R,BBG000G81SV7
NW7K6C-R,BBG000C96839
NPP5KQ-R,BBG000BNXHG5
HQ2MHF-R,BBG00LNJRQ09
RYRC40-R,BBG000BPZBB6
LRK013-R,BBG000BJL3N0
SFTTTV-R,BBG000VDM4B1
FBC2XZ-R,BBG000F15M24
B4PGFJ-R,BBG000BGFZR8
FYSXNQ-R,BBG000BVJ7L9
P9ZJN4-R,BBG000BKKMZ3
M0GKCK-R,BBG000BCHX45
K7YTNS-R,BBG000BP7JB0
RXHN9P-R,BBG000BCSST7
HR82M7-R,BBG000BQ0JC4
PD79QM-R,BBG000PM7GJ0
BL5KVX-R,BBG000F6H8W8
FPTJVK-R,BBG000BT1715
PY5NPN-R,BBG00SSQFPK6
RSQN90-R,BBG001D8R5D0
RK8Z6D-R,BBG000C1FQS9
WHZD5T-R,BBG000Q0NF01
LF4WPT-R,BBG000BJNGN9
X0N4MP-R,BBG000BHLYS1
DBPQC2-R,BBG000FL1TC8
B01DPB-R,BBG000DRZH81
SX3H28-R,BBG000FCXZ02
FQJDL3-R,BBG0035M2ZB7
NW8BQ3-R,BBG000G6Y5W4
DKGV7D-R,BBG000FDSH97
HMVVTC-R,BBG000BD0TF8
TQ3DXD-R,BBG000DDK049
RT2ZSJ-R,BBG000BNFLM9
PY5NPN-R,BBG000BC15S7
QJ9MM5-R,BBG000H4DGS2
WM5BXP-R,BBG000C3GN47
NFMH78-R,BBG00GBVBK51
WJSPKP-R,BBG000BNS6S2
C4C0BL-R,BBG000CL9VN6
B81TLL-R,BBG00KHY5S69
CZ9VBX-R,BBG000BCKC47
DJC2TN-R,BBG000BB5006
G9ZBGY-R,BBG000BN8427
BK6JKQ-R,BBG000BVDLH9
H8JXH0-R,BBG000BL4504
GC1HR2-R,BBG000DQQ801
H9NX6V-R,BBG000C240W1
BYJYYM-R,BBG000BVMGF2
K7TZB5-R,BBG000DY8ZS4
BMFSSV-R,BBG000BBV506
DG6SCF-R,BBG000BMZ7P7
T2YF0Y-R,BBG000C8FRK0
CYBC69-R,BBG000BLF8D2
GM32M5-R,BBG000BCBCM7
VCNXSP-R,BBG000BH3GZ2
K8ZYYY-R,BBG000C4ZFV1
L5BZ9S-R,BBG000CP0W63
VMJ5QZ-R,BBG000BK5S78
HY2JNG-R,BBG000BX6PW7
M506MK-R,BBG000BV3594
B83YJG-R,BBG00H433CR2
FQTTHX-R,BBG000FBK808
JRFYNM-R,BBG001DCCGR8
H4629G-R,BBG000JRY3X9
F1DFCD-R,BBG000BR54L0
KGKNG4-R,BBG000JSHT05
XM0T39-R,BBG000FL9569
DH9ZLJ-R,BBG000FL3BB6
RFPMVX-R,BBG000BWP7D9
GJZ5YB-R,BBG000CS7CT9
S7RV59-R,BBG000DHSPT0
LC1BTF-R,BBG000PSKYX7
RDKCQY-R,BBG000FWCNB6
XM8P7T-R,BBG0019JZ882
C46GQC-R,BBG003641015
TTHJD1-R,BBG000C2YHG9
FYT41X-R,BBG000D898T9
QR3WD9-R,BBG000FRBSS9
SBVKW8-R,BBG000BSVZM9
S25R0V-R,BBG000BJQ328
NFMPMG-R,BBG000BLRT07
V6ZQWF-R,BBG000BGYMH7
PVW48J-R,BBG000C90DH9
RJWS22-R,BBG000BGPTB8
RGTY61-R,BBG000BK2F42
KB75VT-R,BBG000JMH788
CC0SQN-R,BBG000HZFZX3
NKGZ7J-R,BBG000QW7VC1
W234M1-R,BBG000CT56K1
LRJYZ2-R,BBG000BT4T69
WRNZ6Q-R,BBG000CYSFS7
JH0BKZ-R,BBG000BHQ1H0
MMSHPN-R,BBG000BKLVK8
LD0WYZ-R,BBG000BGKTF9
BQ7YD0-R,BBG0077WYXF0
TTDQ0D-R,BBG00286S4N9
DDZB0B-R,BBG000BRNLL2
H1PKGQ-R,BBG000BBVK30
W6XB41-R,BBG000F3J8W3
HJCTX3-R,BBG000BFQL53
S48YD1-R,BBG000BTKGG8
VWGLQ7-R,BBG000BFXHL6
HJG212-R,BBG000BL8804
GW63CR-R,BBG000BBHJ48
LF4HZG-R,BBG000BH2VM4
WDGX90-R,BBG000BFRF55
VTBNZC-R,BBG000BTQ9G8
HGBJ0K-R,BBG000BC40Y8
Q3ZHPF-R,BBG000BBMSJ6
W0731Q-R,BBG000BSRN78
N712CF-R,BBG000BCV185
Q0JDDX-R,BBG000DC3LT7
B19ST9-R,BBG000BNBDC2
SPGL7X-R,BBG00MRHG523
RJVBBR-R,BBG003PS7JV1
RRXTTL-R,BBG000BMBL90
F73DXH-R,BBG000GY6TX1
FBBBH8-R,BBG000G5H5S0
LLZBW5-R,BBG000BHCYJ1
R2H78W-R,BBG000BDRQ10
FJ1B1C-R,BBG000BBHXQ3
HQ7BZB-R,BBG000FG7KX9
WRYB4K-R,BBG000DNTSP4
Q8J4YF-R,BBG000BVFFV4
SN3294-R,BBG000FHG6D0
DG71WP-R,BBG000FH5YM1
WW7DBW-R,BBG009PN0C87
TR8GP7-R,BBG000F5VJX9
RR1DHV-R,BBG000C42M97
QCKPC8-R,BBG000C27NP6
N93NK1-R,BBG000J5Q6L2
JK7JJX-R,BBG000BLNZL4
WQK5W2-R,BBG000BR1JD0
J2NPSW-R,BBG000CPQZ77
PP7H5M-R,BBG000BCHXF3
R867X0-R,BBG000BNLX91
K38HHD-R,BBG000BGD7W6
RGTT21-R,BBG000BHKD71
D3X1KC-R,BBG000BS9103
PR8B4Q-R,BBG000BGG7F2
TB9J64-R,BBG001M8HHB7
NXHLP0-R,BBG000BGVW60
FQYW7Q-R,BBG000MQ1SN9
N6Z3ML-R,BBG000BMDV41
WYCPCP-R,BBG000RQW961
XGFDHN-R,BBG000BT9DW0
P32F96-R,BBG000BHBTX7
PJPRSK-R,BBG000BGKXV2
MH3TRW-R,BBG000BVPPM1
F71F3M-R,BBG000FPVC60
NCL5GV-R,BBG000BS7KS3
KZNLY8-R,BBG000BL40C2
W0Z4W6-R,BBG000BXMFC3
V5WMVF-R,BBG000BHCP19
X7GQ47-R,BBG000BRB2F4
GFJC62-R,BBG000C3J3C9
CRP3ZV-R,BBG000BX9WL1
RK3DL5-R,BBG000FY4S11
RFYYQQ-R,BBG000FX3Z36
X9Q3HC-R,BBG000CGJMB9
KDHCQP-R,BBG000BH2JM1
SZJL5M-R,BBG000BJ3PD2
L32LM8-R,BBG00DYNJGH9
RT66YK-R,BBG000BBQCY0
H53QZC-R,BBG000CNFQW6
KFJFWS-R,BBG000C1HN22
GM69XB-R,BBG000MCQ6Y9
LD09ZK-R,BBG000P7L3W1
KB3YPS-R,BBG000BJSBJ0
M4VLV7-R,BBG000BNNYW1
PGMTVK-R,BBG000BVTNR7
S3DDW6-R,BBG000BSJHQ9
LJBVKT-R,BBG000DJYQ99
T4227L-R,BBG000BW7348
L7HQMF-R,BBG000BBK3Y6
QCBKSL-R,BBG001NY45K9
VNMTTH-R,BBG000C5HS04
DWZ08F-R,BBG000FXJSG1
MQ119X-R,BBG000BB6WG8
MH2KBP-R,BBG00B6BFWH9
JMHSJV-R,BBG000C0F570
CHLPBT-R,BBG000BH82F0
F5WQ03-R,BBG000BQ1490
GW4QWL-R,BBG000H6CF00
VR16P9-R,BBG000C0LW92
T6CPQP-R,BBG000CHSS88
GZF20K-R,BBG000BM5SR2
CF8Q6D-R,BBG000BQR1D3
KK1SFD-R,BBG000DW4Q75
H8RWSK-R,BBG000FNWYC9
VTBLV9-R,BBG000BNSZP1
GN6KCJ-R,BBG000BKTFN2
PTVCPQ-R,BBG000JK79L4
C46DK8-R,BBG000BPPN67
TY2XVL-R,BBG000BP8KR9
T0JL9Q-R,BBG000FVXD63
GN7G2C-R,BBG000BDHNB7
CYB1M0-R,BBG000BBS2Y0
PJTSGB-R,BBG000BBXLW4
KTZ9Z1-R,BBG000G8GGZ3
SHMBPY-R,BBG000BRKN86
X59HZ5-R,BBG000BY33P5
HLX79K-R,BBG000C37332
LY653H-R,BBG000C23KJ3
VCSS49-R,BBG000FWY399
KMBRT0-R,BBG000BLPBL5
V3LF0L-R,BBG000BB7PP2
SM5S6G-R,BBG000BD4316
NXD9CX-R,BBG000FDDN09
WV1ZC5-R,BBG000BKSRH4
L6H4CS-R,BBG000BJVZF7
KC6WDM-R,BBG000C1BW00
HKRNG5-R,BBG000BMGN55
SP34K9-R,BBG000JKKGC3
SYHYVY-R,BBG000JW33M4
V83TYH-R,BBG000H556J0
FFZG7F-R,BBG000BDGGV1
KDCD3Y-R,BBG000BQ5DS5
FPPSQ1-R,BBG000C4LN67
Q1Q3FC-R,BBG000F9N9Q0
PY50G1-R,BBG000BRD0D8
JH0FS2-R,BBG000BLHJ19
VT4SWZ-R,BBG000BVWLJ6
FXH4XG-R,BBG000CGC1X8
RNHYX7-R,BBG000BJDPC2
BLB2G4-R,BBG000BDWKC5
LHK9RS-R,BBG000H1RXT5
JH07CW-R,BBG000BB2KW0
J76LJ3-R,BBG000BNTC99
XPB7BB-R,BBG000BKND99
MZJHY9-R,BBG001QD41M9
LRHNLZ-R,BBG000BJKJH3
VBJY1V-R,BBG000BTLMX5
RJ0FT9-R,BBG000BS0ZF1
RYLVJS-R,BBG000C6F3T8
NZMV05-R,BBG000D7RKJ5
S41Y4L-R,BBG000D6RQJ4
HQ87P5-R,BBG000BVV7G1
GGPVTB-R,BBG000CH5208
PQLF4Z-R,BBG000BJRZ26
F86155-R,BBG000DTC258
WNG4V1-R,BBG000DGM399
SNBZ7F-R,BBG000BJDX44
MYZ7WZ-R,BBG000BX8DC4
MFQVZQ-R,BBG0058KMH30
Q53D75-R,BBG000BB5BF6
C5GXYC-R,BBG000BM6788
F87563-R,BBG000JM3G01
FFQNC3-R,BBG000C1S2X2
PVBYXV-R,BBG000N7MXL8
NV7K28-R,BBG000BLSL58
FS32CR-R,BBG000BJ8YN7
SF4RN2-R,BBG000NQGLP5
GSVL1P-R,BBG000BN0MW2
B4PGFJ-R,BBG00FN64XT9
LJQYJ1-R,BBG000BKPL53
H8MX9Y-R,BBG000BLWF74
GRS9LG-R,BBG000BBNYF6
KB6ZLR-R,BBG000BB7YJ0
P4VXRX-R,BBG008S3V4G5
RBJXH6-R,BBG000Q5ZRM7
BWDZ2P-R,BBG000D9D830
VK7M4R-R,BBG000BR2B91
MJ0XB7-R,BBG000M1R011
X8LB4Q-R,BBG000D9KWL9
JJ3Q47-R,BBG000BDRR63
N4LY1X-R,BBG000DCK8K6
D3VZJC-R,BBG000BS5DR2
LTP0Z2-R,BBG000BGJRC8
F2J1J0-R,BBG000HLQH80
T0SQZH-R,BBG000NDYB67
KW9F7H-R,BBG000BTGCV5
LN3P8B-R,BBG000BY29C7
MG2TQV-R,BBG000BMQPL1
XQCWLZ-R,BBG000GQ1G25
J1BPLD-R,BBG000BCJT60
LF4H1K-R,BBG000F294G3
L7H19S-R,BBG000BWTYH2
J2MLPV-R,BBG000BFDXW1
LZBB5H-R,BBG000BGZ832
CPCW2Z-R,BBG000BGPTV6
B4PJKL-R,BBG000FJP263
VFY8ZQ-R,BBG000BC1L02
VNRDMV-R,BBG000BVMPN3
V9977J-R,BBG000MBDGM6
LQ766T-R,BBG000CGQ6M4
FMDS8D-R,BBG000BTCH57
MBNTPH-R,BBG000D6HK35
HKQ2FP-R,BBG000BNB9S4
L57MYN-R,BBG000BD7W19
JKD9ND-R,BBG000C0PBV9
FBCHQC-R,BBG000BNGTQ7
VS59M7-R,BBG000BBDZG3
MZZ0KV-R,BBG000DGZ1B6
JT71M6-R,BBG000C060M4
DG885T-R,BBG000BMW2R9
CRRS1B-R,BBG000CF5809
TF1DZP-R,BBG000G30YX4
N3DZL7-R,BBG000BW73T1
TTN57D-R,BBG000C4ZNF2
WYLZ4D-R,BBG000CYF8C4
J89J6Y-R,BBG000BNWG87
RZQS4K-R,BBG000BH5LT6
P5BP94-R,BBG000BKZTP3
BV4P4T-R,BBG000BB6M98
N2GNNQ-R,BBG000BXM6V2
H0P6P9-R,BBG000D2ZTS8
S1SHTH-R,BBG000BPP8D2
HD2T24-R,BBG000H28X05
PC0NY9-R,BBG000CG0HP5
V03NML-R,BBG000HN4VY0
CZB1R3-R,BBG000BL09J0
J70ZTV-R,BBG000BH1NH9
JSZKG9-R,BBG000BWQ2S3
WB1V3K-R,BBG000C4Y9D6
SHNVG7-R,BBG000HCJMF9
DMRWLY-R,BBG000BJ26K7
RYTJNF-R,BBG00RP5HYS8
CYC4Q1-R,BBG000DD3510
KDJSF0-R,BBG000BBL0Y1
Q1BV1X-R,BBG000BV73Y7
GRRFYN-R,BBG000BX3TD3
WFLMHL-R,BBG000BCZYD3
G7VWJD-R,BBG000BQ3F39
T67DJN-R,BBG000BB65D0
DH7WLK-R,BBG000BHD8S7
LC3ZQS-R,BBG000GY7ZR3
CL0BQW-R,BBG000BH5K72
NV79M1-R,BBG000BWCKB6
MXPPFV-R,BBG000CNZC55
SYD3JB-R,BBG000BRZBL1
CHK9QJ-R,BBG000BMDBZ1
G8WDMZ-R,BBG000BBVJZ8
C1Z2B6-R,BBG000BPS2V2
XLY63V-R,BBG000BBBNC6
C239D5-R,BBG000C7WZ16
DF2WYT-R,BBG000R0L5J4
V4RQ7N-R,BBG000BP1152
N96M5T-R,BBG000BK1FD3
VNRHTY-R,BBG000FJJW82
HP58X9-R,BBG000F7RCJ1
SJY281-R,BBG000BLNNH6
J70N5J-R,BBG000BQVTF5
M7439D-R,BBG000BFDLV8
HKLJPC-R,BBG000BQ8KV2
L474X3-R,BBG000BB4WY0
CGGG4R-R,BBG000BPWXK1
WGXV7D-R,BBG000GPXKX9
RJ3WCJ-R,BBG000BJ2VQ6
B4PMRP-R,BBG000BFWKC0
WXGMR7-R,BBG000DLD3J7
C1XRTZ-R,BBG000C0H6Z5
PRGQ6L-R,BBG000BP1Q11
X1RJ5Y-R,BBG000BQ74K1
RBDXWG-R,BBG000PV2L86
B5PHMN-R,BBG000BGPG26
NQTR8Z-R,BBG000BNHSP9
PKY86P-R,BBG000BX3B60
B4L66G-R,BBG000BQT4L6
HHDN6N-R,BBG000BGFLL5
FYMJCN-R,BBG000BHVJJ3
HZ2GNH-R,BBG000BSVL59
W00MKH-R,BBG000BWNFZ9
P8R3C2-R,BBG000BPH459
NNFR4J-R,BBG000CXD6X9
DR9GLS-R,BBG000P2DY26
VNRCPY-R,BBG000DQQPF7
BV3N5V-R,BBG000C46HM9
GC4MKW-R,BBG000BK6G19
Q3VTNZ-R,BBG000FXW512
MMN39J-R,BBG000BSD7C2
RK3HS8-R,BBG000J1QLT0
Q8G78M-R,BBG000L8CBX4
KNB5TK-R,BBG000BV9X97
QVJDSG-R,BBG000BQJW71
K4NMRW-R,BBG000FXJTH8
QCYLZB-R,BBG000BLMZK6
F17SJ1-R,BBG000BB6G37
FW4T5S-R,BBG000BC57B7
F72PJT-R,BBG000BPNP00
N71K8W-R,BBG000BTM0G1
P1X666-R,BBG000BDLLR9
K24537-R,BBG000BKFZM4
MH7TCM-R,BBG000BJF1Z8
LKPWM4-R,BBG000BTQR96
LX237L-R,BBG000BD2NY8
R2J99W-R,BBG000BMY992
CSMTMQ-R,BBG000BWXBC2
XQCN4R-R,BBG000BPMH90
KGQLRN-R,BBG000NC8DB8
CF92SM-R,BBG000BMWHS5
MZZT2L-R,BBG000JXRXK2
P5GYF4-R,BBG000FGKW59
KJX3J0-R,BBG000BRYN54
GTZMXL-R,BBG000BVZGY7
GC9695-R,BBG000BSXQV7
VWF970-R,BBG000BWQFY7
NT38T5-R,BBG000BBDV81
BWZ93Y-R,BBG001B4BV87
TXXC7C-R,BBG000BFYB47
X420K1-R,BBG000BBYZM3
VDT85V-R,BBG000BR3KL6
WKY44Y-R,BBG000BC2V72
NWCQ48-R,BBG000BWPN99
DH6WPM-R,BBG000BTHH16
KMBPNY-R,BBG000BMDZF0
Q78D01-R,BBG000BBD070
CJSZGT-R,BBG000BHPKG0
QQ00XL-R,BBG000BWYFX9
BCD4JF-R,BBG000BJP882
B5P0VB-R,BBG000DQDVN9
BW92P1-R,BBG000FFC0B3
T7GQMM-R,BBG000KP4WB4
PBZ9G4-R,BBG000DWQJ77
JS6B3F-R,BBG000BK5DP1
QJBZ19-R,BBG000BVD6X4
KRQTDT-R,BBG000J2XL74
C5L77G-R,BBG000HZ4DM6
WL1GCY-R,BBG000FQRVM3
HZ6Z7Q-R,BBG000C0G1D1
RZXDWV-R,BBG000BR2TH3
FGWFLP-R,BBG000HSZTC4
FJ4J4C-R,BBG000BHKYH4
T2TNWF-R,BBG000BTVJ25
PPBQBN-R,BBG000BGX601
KDJL0T-R,BBG000BCQ4P6
HF5SX1-R,BBG000C17X76
LHKN8Z-R,BBG000BQ2C28
GQGQ5C-R,BBG000BLW530
K8YRNT-R,BBG000BT0CM2
STW6V4-R,BBG000BMJT68
F07Q7W-R,BBG000H3YXF8
BYNP13-R,BBG000DQTXY6
TWS77D-R,BBG000BHK836
TY1SPJ-R,BBG000BB2PW9
HSF35X-R,BBG000BNNKG9
D3ZY22-R,BBG000BLCPY4
Q4YP8S-R,BBG005CPNTQ2
K7TPSX-R,BBG000BBJQV0
W95M60-R,BBG000BTZP27
CFG1CD-R,BBG000TRJ294
VLHKF9-R,BBG000BSJK37
R4LZTQ-R,BBG000KH8ZX7
NPK7YX-R,BBG000BPXVJ6
C6LYWC-R,BBG000D4HRN3
V2FT79-R,BBG000DYCT67
H7C8QR-R,BBG000BQDJ12
PFD45C-R,BBG000BSS3N3
LKST5W-R,BBG000DWYF03
CRFGHS-R,BBG000FH1799
QWV5DL-R,BBG000BRXP69
WYHB5Z-R,BBG000BF3VN6
JPXNB3-R,BBG00DBBG1M0
DKJ8VM-R,BBG000BS4MP5
VR1F2H-R,BBG000BWBZN1
PHJ2V4-R,BBG000BKTT89
CHKL7S-R,BBG000BNDN65
RMCLL5-R,BBG000BCFHH8
FVD6P4-R,BBG005XR47P5
CMWR7T-R,BBG000DXFRW1
DZ776B-R,BBG000BFJ645
FGW76H-R,BBG000BF6756
BWHWNF-R,BBG000K1BLV1
XD67LR-R,BBG000PV27K3
GRQMJ0-R,BBG000WCFV84
