,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
0,2019-11-06,0.0241,Monthly,Regular Cash,2019-12-13,2019-12-30,2019-12-16,/bbgid/BBG000FV0NL0
0,2019-10-31,0.045,Quarter,Regular Cash,2019-12-19,2020-01-10,2019-12-20,/bbgid/BBG000V76MQ6
0,2019-11-07,0.405,Quarter,Regular Cash,2019-12-09,2019-12-31,2019-12-10,/bbgid/BBG000BCC284
0,2019-12-04,0.02,Irreg,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000BCWK73
0,2019-11-07,0.3,Quarter,Regular Cash,2019-12-16,2020-01-09,2019-12-17,/bbgid/BBG000F44GR5
0,2019-10-31,0.145,Quarter,Regular Cash,2019-12-23,2020-01-03,2019-12-24,/bbgid/BBG000BXJSH4
0,2019-11-13,0.22,Quarter,Regular Cash,2019-12-17,2020-01-01,2019-12-18,/bbgid/BBG000BR40B0
0,2019-11-06,0.36,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG001P0TNW2
0,2019-11-26,0.2,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000BL30Y9
0,2019-11-18,0.125,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000C24TS3
0,2019-12-04,0.07,Quarter,Regular Cash,2019-12-18,2019-12-26,2019-12-19,/bbgid/BBG000BBMCY4
0,2019-10-17,0.1133,Monthly,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG003LB3TH0
0,2019-11-08,0.14,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000B9XG87
0,2019-10-21,0.17,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000DZN289
0,2019-10-25,0.48,Quarter,Regular Cash,2019-12-30,2020-01-31,2019-12-31,/bbgid/BBG000LX4D19
0,2019-11-21,0.14,Quarter,Regular Cash,2019-12-19,2020-01-07,2019-12-20,/bbgid/BBG000BJNV83
0,2019-11-08,0.1,Quarter,Regular Cash,2019-12-09,2020-01-24,2019-12-10,/bbgid/BBG000BJW241
0,2019-12-02,0.35,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG001KFNK01
0,2019-11-25,0.79,Quarter,Regular Cash,2019-12-09,2019-12-31,2019-12-10,/bbgid/BBG000BCZYD3
0,2019-11-14,0.2075,Quarter,Regular Cash,2019-12-11,2020-01-01,2019-12-12,/bbgid/BBG000BNX3R4
0,2019-11-25,0.02,Quarter,Regular Cash,2019-12-09,2019-12-20,2019-12-10,/bbgid/BBG000BLJLJ3
0,2019-11-01,0.32,Quarter,Regular Cash,2019-12-11,2019-12-26,2019-12-12,/bbgid/BBG000BBDZG3
0,2019-11-13,0.48,Quarter,Regular Cash,2020-01-02,2020-01-22,2020-01-03,/bbgid/BBG000FP1N32
0,2019-12-05,0.66,Quarter,Regular Cash,2019-12-13,2020-01-03,2019-12-16,/bbgid/BBG000BLW530
0,2019-11-15,0.56,Quarter,Regular Cash,2019-12-18,2020-01-15,2019-12-19,/bbgid/BBG000BFPK65
0,2019-11-06,0.3,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG007HRJXJ3
0,2019-10-31,0.6185,Quarter,Regular Cash,2019-12-13,2020-01-02,2019-12-16,/bbgid/BBG000KCZPC3
0,2019-10-28,0.5,Quarter,Regular Cash,2019-12-16,2020-01-03,2019-12-17,/bbgid/BBG007PN0489
0,2019-12-05,0.06,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000PRZVD1
