fsym_id,sector,industry_group,industry,sub_industry,sector_id,industry_group_id,industry_id,sub_industry_id
CPCV0Y-R,Information Technology,Software & Services,Software,Application Software,45,4510,451030,45103010
CPCW2Z-R,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,20,2010,201060,20106010
CQCD9M-R,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,35,3510,351010,35101020
CQCV51-R,Financials,Banks,Banks,Diversified Banks,40,4010,401010,40101010
CQJ4C2-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10,1010,101010,10101020
CRHPMR-R,Industrials,Capital Goods,Machinery,Industrial Machinery,20,2010,201060,20106020
CRNHT8-R,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20,2010,201070,20107010
CRP3ZV-R,Financials,Banks,Banks,Regional Banks,40,4010,401010,40101015
CSFJSZ-R,Industrials,Transportation,Airlines,Airlines,20,2030,203020,20302010
CSMTMQ-R,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,30,3010,301010,30101040
CTYNJ1-R,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,20,2010,201050,20105010
CWRF0J-R,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,35,3520,352020,35202010
CX6P1R-R,Real Estate,Real Estate,Equity Real Estate Investment,Industrial REITs,60,6010,601010,60101020
CY644B-R,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,40,4020,402030,40203020
CY9XBW-R,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban,40,4020,402030,40203010
CYB1M0-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
CYB6Y5-R,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,30,3020,302010,30201030
CYBC69-R,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,30,3020,302020,30202030
CYC4Q1-R,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs,60,6010,601010,60101060
CZ9VBX-R,Utilities,Utilities,Gas Utilities,Gas Utilities,55,5510,551020,55102010
CZBYFY-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment,45,4530,453010,45301010
CZG3GX-R,Materials,Materials,Paper & Forest Products,Forest Products,15,1510,151050,15105010
D0H09V-R,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20,2010,201070,20107010
D0LDT1-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,25,2520,252010,25201030
D0QHLW-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45,4530,453010,45301020
D1P43P-R,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,15,1510,151010,15101030
D1RCCS-R,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban,40,4020,402030,40203010
D2RP35-R,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,30,3030,303020,30302010
D2WW33-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
D3VZJC-R,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se,20,2020,202020,20202010
D3ZY22-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,10,1010,101010,10101010
D403D7-R,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail,25,2550,255040,25504020
D4C1S0-R,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,35,3520,352020,35202010
D502G9-R,Utilities,Utilities,Electric Utilities,Electric Utilities,55,5510,551010,55101010
D54BL9-R,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail,25,2550,255040,25504060
D54YRW-R,Financials,Banks,Banks,Diversified Banks,40,4010,401010,40101010
D68983-R,Utilities,Utilities,Multi-Utilities,Multi-Utilities,55,5510,551030,55103010
D69C93-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35,3520,352010,35201010
D79MYG-R,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20,2010,201070,20107010
D8D820-R,Communication Services,Media & Entertainment,Media,Advertising,50,5020,502010,50201010
D8FPTC-R,Consumer Discretionary,Automobiles & Components,Auto Components,Tires & Rubber,25,2510,251010,25101020
D9PTF2-R,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,10,1010,101020,10102020
DBNXVB-R,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings,40,4020,402010,40201030
DBPJ30-R,Materials,Materials,Paper & Forest Products,Paper Products,15,1510,151050,15105020
DBPQC2-R,Communication Services,Media & Entertainment,Media,Cable & Satellite,50,5020,502010,50201030
DCWPWS-R,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,20,2010,201070,20107010
DDZB0B-R,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,35,3510,351010,35101020
DF2NCG-R,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,10,1010,101010,10101020
