,fsym_id,exdate,bbg_id,in_index
431,WQL0KZ-R,,BBG000V8NC69,0
432,HR96N5-R,,BBG000BYVK30,1
433,WL53BC-R,,BBG000CYTTJ6,0
434,PRNKH6-R,,BBG003312L44,0
435,W3CYJD-R,,BBG000BDQ562,0
436,J4K0N7-R,,BBG00NKZNGB6,0
437,MN5CL1-R,,BBG00V1L5YZ5,0
438,KM9V14-R,,BBG000CQ5PH9,0
439,V1HC1N-R,,BBG000VC6WR2,1
440,QBNYB3-R,,BBG000BFLH48,0
441,DCWB5F-R,,BBG000N0MYZ6,0
