fsym_id,sector,industry_group,industry,sub_industry,sub_industry_id,industry_id,industry_group_id,sector_id
B4PMRP-R,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,15101030,151010,1510,15
L474X3-R,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S,45102020,451020,4510,45
R867X0-R,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &,55105010,551050,5510,55
MZZT2L-R,Financials,Banks,Banks,Regional Banks,40101015,401010,4010,40
TXXC7C-R,Financials,Insurance,Insurance,Property & Casualty Insurance,40301040,403010,4030,40
MMRBGK-R,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,35201010,352010,3520,35
B6J5QW-R,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,35202010,352020,3520,35
J75D6Z-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,25201030,252010,2520,25
TQDY7H-R,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,35102015,351020,3510,35
QWT5HN-R,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment,25101010,251010,2510,25
J9FK0T-R,Materials,Materials,Metals & Mining,Steel,15104050,151040,1510,15
PLY42N-R,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,20201070,202010,2020,20
VVFNT8-R,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,35203010,352030,3520,35
B4QKJK-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45301020,453010,4530,45
F725KB-R,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,30302010,303020,3030,30
D8DLQB-R,Industrials,Capital Goods,Machinery,Industrial Machinery,20106020,201060,2010,20
FMFR39-R,Information Technology,Software & Services,Software,Application Software,45103010,451030,4510,45
H0PH6K-R,Financials,Diversified Financials,Consumer Finance,Consumer Finance,40202010,402020,4020,40
NCCJTM-R,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,50203010,502030,5020,50
TSCB80-R,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,25201020,252010,2520,25
C6QT2V-R,Financials,Banks,Banks,Diversified Banks,40101010,401010,4010,40
BW92P1-R,Communication Services,Media & Entertainment,Media,Publishing,50201040,502010,5020,50
DH6WPM-R,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,25302020,253020,2530,25
XC2LNC-R,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,20104010,201040,2010,20
J1JDGR-R,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,25301010,253010,2530,25
L5BZ9S-R,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,45301020,453010,4530,45
VMJ5QZ-R,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,25504010,255040,2550,25
HY2JNG-R,Industrials,Transportation,Road & Rail,Trucking,20304020,203040,2030,20
WRNZ6Q-R,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,25504010,255040,2550,25
B8ZY81-R,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,35202010,352020,3520,35
S25R0V-R,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,40102010,401020,4010,40
H1PKGQ-R,Industrials,Transportation,Airlines,Airlines,20302010,203020,2030,20
D8ZMGM-R,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S,45102020,451020,4510,45
DKJ8VM-R,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,25503010,255030,2550,25
FGW76H-R,Materials,Materials,Containers & Packaging,Metal & Glass Containers,15103010,151030,1510,15
