,fsym_id,exdate,bbg_id,in_index
674,QSDQCP-R,2020-09-10 00:00:00,BBG000BWVCP8,1
675,QVJJXG-R,2020-09-15 00:00:00,BBG000F1M8C5,1
676,QVQ1DM-R,2020-09-29 00:00:00,BBG000BCC284,1
677,QVQ2GN-R,2020-10-02 00:00:00,BBG000BBTJZ1,0
678,QXYHWT-R,2020-09-29 00:00:00,BBG000G28WZ0,0
679,QXZCJM-R,2020-09-29 00:00:00,BBG000BRZKC1,0
680,QZ2T6Y-R,2015-05-18 00:00:00,BBG000BRW644,0
681,QZ3NZW-R,2020-09-04 00:00:00,BBG000TXK7H9,0
682,QZ3ZG1-R,2020-09-14 00:00:00,BBG000BN53G7,1
683,R22FJJ-R,2020-09-29 00:00:00,BBG00DB0XYC4,0
684,R2H9DY-R,2020-09-15 00:00:00,BBG000TXVLZ6,0
685,R3GYWQ-R,2020-09-25 00:00:00,BBG000C60K98,0
686,R3MHJZ-R,2020-09-29 00:00:00,BBG000GB1NC2,1
687,R4MBBX-R,2020-09-16 00:00:00,BBG000CXKKZ8,0
688,R582JZ-R,2020-10-09 00:00:00,BBG00LFV6BR8,0
689,R5SD3R-R,2020-08-17 00:00:00,BBG000GZYVY1,0
690,R5STZ5-R,2020-09-14 00:00:00,BBG000C93G61,0
691,R6XBSK-R,2020-09-14 00:00:00,BBG000BWS4R8,0
692,R6XNCV-R,2020-09-03 00:00:00,BBG000C2Y8P9,0
693,R6XPFW-R,2020-09-14 00:00:00,BBG000BCS9D6,1
694,R998SY-R,2020-09-14 00:00:00,BBG000BQQ2S6,1
695,RBDXWG-R,2020-09-14 00:00:00,BBG000PV2L86,1
696,RBF9LT-R,2020-09-16 00:00:00,BBG000QVWX13,0
697,RBJXH6-R,2020-09-14 00:00:00,BBG000Q5ZRM7,1
698,RC2NL2-R,2020-09-29 00:00:00,BBG004DFMB77,0
699,RCGBPW-R,2020-09-29 00:00:00,BBG000BGJJX3,0
700,RCKVD5-R,2020-09-28 00:00:00,BBG000CDMMM0,0
701,RDPQXX-R,2020-09-29 00:00:00,BBG000RKXRQ1,0
702,RDQX50-R,2020-10-02 00:00:00,BBG000C037V2,0
703,RDQZ92-R,2020-09-10 00:00:00,BBG000GHZSZ6,1
704,RFMFNV-R,2020-09-29 00:00:00,BBG002Z3L4S8,0
705,RFQX93-R,2020-09-10 00:00:00,BBG000CWQ765,1
706,RFXXRR-R,2020-09-29 00:00:00,BBG000WC4K26,0
707,RGTY61-R,2020-09-10 00:00:00,BBG000BK2F42,1
708,RH0GWC-R,2020-09-09 00:00:00,BBG000TRN6Z1,1
709,RJ022Y-R,2020-09-14 00:00:00,BBG000C75N77,1
710,RJ4LWB-R,2020-09-17 00:00:00,BBG000RRG9W8,0
711,RJVBBR-R,2020-09-15 00:00:00,BBG003PS7JV1,1
712,RK365Z-R,2020-06-29 00:00:00,BBG000BN6P22,0
713,RK41TS-R,2020-09-14 00:00:00,BBG000BGJ661,0
714,RMGZY7-R,2020-06-29 00:00:00,BBG000BHG3K3,0
715,RMJKYQ-R,2020-09-14 00:00:00,BBG000D9P720,0
716,RMJM0R-R,2020-09-21 00:00:00,BBG000BPZVW9,0
717,RPNJRM-R,2020-09-03 00:00:00,BBG000C2PW58,1
718,RPSNMH-R,2020-09-29 00:00:00,BBG00RFF38P2,0
719,RPSY4R-R,2020-09-29 00:00:00,BBG000LZ8562,0
720,RPTWZN-R,2020-09-15 00:00:00,BBG000BJ39D8,0
721,RPTY1P-R,2020-09-09 00:00:00,BBG000BRJL00,1
722,RQY00N-R,2020-09-17 00:00:00,BBG000BTXSH7,0
723,RRXTTL-R,2020-09-29 00:00:00,BBG000BMBL90,1
724,RS288R-R,2020-09-14 00:00:00,BBG000BVYN55,0
725,RT2ZSJ-R,2020-09-29 00:00:00,BBG000BNFLM9,1
726,RT78ZK-R,2020-09-29 00:00:00,BBG000CGWSJ3,0
727,RV5YKD-R,2020-09-08 00:00:00,BBG000HS74G6,0
728,RV6GJW-R,2020-07-14 00:00:00,BBG000CL6Z23,0
729,RV6ZJC-R,2020-09-24 00:00:00,BBG000BGMC46,0
730,RVBG4M-R,2020-09-03 00:00:00,BBG000DNLMB0,0
731,RWB3MD-R,2020-09-25 00:00:00,BBG000BH9BY8,0
732,RWBB0L-R,2020-09-10 00:00:00,BBG000CGC453,0
