,fsym_id,listing_currency,payment_currency,declared_date,exdate,record_date,payment_date,payment_amount,div_type,div_freq,div_initiation,skipped,exdate_l1,payment_amount_l1,div_increase,bbg_id,bbg_ticker
97,JH1XLG-R,USD,USD,,1996-02-28,1996-03-01,1996-03-15,0.10000000705000012,regular,4,True,False,1991-04-19,0.3866666671266663,False,BBG000G81SV7,
98,JJ3Q47-R,USD,USD,,2011-05-12,2011-05-16,2011-06-01,0.0299999993,regular,4,True,False,2008-11-13,0.100000001,False,BBG000BDRR63,BSET US
99,JK7JJX-R,USD,USD,,1986-03-17,,1986-04-01,0.04911408577207429,regular,4,True,False,1984-09-17,0.05729976475588052,False,BBG000BLNZL4,SNV US
100,JKDM7P-R,USD,USD,,2017-02-15,2017-02-17,2017-03-17,0.150000006,regular,4,True,False,1983-11-15,0.125,True,BBG000BMFFQ0,J US
101,JLJN1K-R,USD,USD,,1988-09-29,,1988-10-26,0.0199999996,regular,4,True,False,1986-12-18,0.100000024,False,BBG000JGQ3K6,
102,JMNLQC-R,USD,USD,,2008-03-31,2008-04-02,2008-04-30,0.03125,regular,4,True,False,1999-03-02,0.007766666736883329,True,BBG000BFT2L4,CMCSA US
103,K24537-R,USD,USD,,2007-08-27,2007-08-29,2007-09-28,0.0500000007,regular,4,True,False,2001-05-31,0.0599999987,False,BBG000BKFZM4,GLW US
104,KB75VT-R,USD,USD,,2005-03-11,2005-03-15,2005-04-01,0.100000001,regular,4,True,False,1985-09-09,0.45000001749999996,False,BBG000JMH788,
105,KDJL0T-R,USD,USD,,1986-02-27,,1986-03-19,0.04250000425,regular,4,True,False,1984-08-29,0.03249999875,True,BBG000BCQ4P6,AVY US
106,KDJSF0-R,USD,USD,,2013-08-02,2013-08-06,2013-08-22,0.1000000015,regular,4,True,False,1992-10-08,0.012500000175,True,BBG000BBL0Y1,ALK US
107,KGRLNL-R,CAD,USD,,1986-11-12,,1986-12-15,0.7317073342500001,regular,2,True,False,1984-08-09,1.024390250389024,False,BBG000CZQDZ3,UFS CN
108,KGRLNL-R,CAD,USD,,1990-02-09,1990-02-09,1990-03-15,0.6126847226754565,regular,4,True,False,1987-05-08,0.7317073342500001,False,BBG000CZQDZ3,UFS CN
109,KGRLNL-R,CAD,USD,,1996-02-29,1996-03-04,1996-04-02,0.1539600042,regular,4,True,False,1990-11-08,0.31356592014144763,False,BBG000CZQDZ3,UFS CN
110,KGRLNL-R,CAD,USD,,2010-06-11,2010-06-15,2010-07-15,0.125,regular,4,True,False,2005-08-29,0.3098879904,False,BBG000CZQDZ3,UFS CN
111,KK2P47-R,USD,USD,,2008-02-13,2008-02-15,2008-03-10,0.0500000007,regular,4,True,False,2001-04-27,0.0625,False,BBG000BL8GJ6,
112,KSWML9-R,USD,USD,,1988-10-03,,1988-10-21,0.00374999991875,regular,4,True,False,1985-09-24,0.0006250000045833332,True,BBG000BL9JQ1,HFC US
113,KW9F7H-R,USD,USD,,2004-03-09,2004-03-11,2004-04-01,0.25,regular,4,True,False,1997-02-19,0.0500000005,True,BBG000BTGCV5,SPXC US
114,KXDMGL-R,USD,USD,,2011-04-28,2011-05-02,2011-06-01,0.180000007,regular,4,True,False,2009-02-04,0.0299999993,True,BBG0113JGQF0,STX US
115,KZKFX9-R,USD,USD,,2005-05-12,2005-05-16,2005-06-01,0.100000001,regular,4,True,False,1998-11-04,0.0250000004,True,BBG000C4WXH1,
116,L0NDP5-R,CAD,CAD,,2000-05-04,2000-05-08,2000-06-15,0.0500000007,regular,4,True,False,1992-03-02,0.0500000007,False,BBG000DPZC04,RUS CN
117,L1XX07-R,CAD,CAD,,2005-05-06,2005-05-10,2005-05-24,0.0250000004,regular,4,True,False,2001-09-24,0.0500000007,False,BBG000GXW4R6,S CN
118,L57MYN-R,USD,USD,,2007-12-13,2007-12-17,2007-12-21,0.075000003,regular,4,True,False,1999-08-30,0.009999999925000001,True,BBG000BD7W19,
119,L57MYN-R,USD,USD,,2011-06-08,2011-06-10,2011-06-21,0.075000003,regular,4,True,False,2008-12-08,0.075000003,False,BBG000BD7W19,
120,L7H19S-R,USD,USD,,1990-05-14,,1990-06-11,0.0799999982,regular,4,True,False,1988-05-11,0.150000006,False,BBG000BWTYH2,
121,LD1K6L-R,CAD,CAD,,1992-03-25,,1992-04-16,0.02500000025,regular,4,True,False,1990-02-09,0.014999999675,True,BBG000CZX2P0,MG CN
122,LD1K6L-R,CAD,USD,2010-05-06,2010-05-27,2010-05-31,2010-06-15,0.045,regular,4,True,False,2009-03-10,0.045,False,BBG000CZX2P0,MG CN
123,LGFBYV-R,CAD,CAD,,2014-09-26,2014-09-30,2014-10-15,0.0390270017,regular,2,True,False,2013-06-26,0.04444000125,False,BBG000C365L8,
124,LKVW3T-R,USD,USD,,2006-05-10,2006-05-12,2006-05-26,0.100000001,regular,4,True,False,1986-08-08,0.0100000016,True,BBG000BRZBT3,
125,LKVW3T-R,USD,USD,,2014-05-01,2014-05-05,2014-05-20,0.100000001,regular,4,True,False,2008-11-12,0.100000001,False,BBG000BRZBT3,
126,LY1WZH-R,USD,USD,,1986-10-27,,1986-11-15,0.023333334111666666,regular,4,True,False,1984-07-26,0.03333333481666668,False,BBG000JK3CF8,
127,LY1WZH-R,USD,USD,,1988-04-25,,1988-05-15,0.0500000007,regular,4,True,False,1986-10-27,0.023333334111666666,True,BBG000JK3CF8,
128,LY1WZH-R,USD,USD,,1990-01-26,1990-01-26,1990-02-15,0.0586391911,regular,4,True,False,1988-04-25,0.0500000007,True,BBG000JK3CF8,
129,LY653H-R,USD,USD,,2012-10-26,2012-10-30,2012-11-15,0.0399999991,regular,4,True,False,1993-11-04,0.040453,False,BBG000C23KJ3,AES US
130,LZ5M62-R,CAD,CAD,,1997-12-08,1997-12-10,1997-12-31,0.04444444760000007,regular,2,True,False,1993-02-18,0.1888889024111114,False,BBG000G87NB4,
131,M2LCXB-R,USD,USD,,1996-09-26,1996-09-30,1996-10-15,0.0625,regular,4,True,False,1986-08-26,0.350000024,False,BBG000DYTTG8,
