bm_id,fsym_id,bbg_id,cnt
SP500,KMBRT0-R,BBG000BLPBL5,2
SP500,KPFMHW-R,BBG000L9CV04,2
SP500,KRQTDT-R,BBG000J2XL74,2
SP500,L6CPTK-R,BBG000BH5DV1,2
SP500,L7LP86-R,BBG000C23PB0,2
SP500,KV0J41-R,BBG000BMHYD1,2
SP500,KW432H-R,BBG000BMH2Q7,2
SP500,KXDMGL-R,BBG0113JGQF0,2
SP500,KYCY91-R,BBG000BLGFJ9,2
SP500,KYJFW8-R,BBG000BQZMH4,2
SP500,KZKK3D-R,BBG000BG4202,2
SP500,KDCD3Y-R,BBG000BQ5DS5,2
SP500,KDHCQP-R,BBG000BH2JM1,2
SP500,KDJL0T-R,BBG000BCQ4P6,2
SP500,KFJFWS-R,BBG000C1HN22,2
SP500,KFMMZS-R,BBG000FKJRC5,2
SP500,KFP2R4-R,BBG000C41023,2
SP500,KHX8Q2-R,BBG000BN84F3,2
SP500,KB3YPS-R,BBG000BJSBJ0,2
SP500,KB791X-R,BBG000BCTQ65,2
SP500,KC6WDM-R,BBG000C1BW00,2
SP500,K24537-R,BBG000BKFZM4,2
SP500,K24Q4R-R,BBG000BGLRN3,2
SP500,K6RW63-R,BBG000C496P7,2
SP500,K7TPSX-R,BBG000BBJQV0,2
SP500,J2MW73-R,BBG000L4M7F1,2
SP500,JTC04X-R,BBG000BGRY34,2
SP500,JWH12W-R,BBG000BLMY92,2
SP500,JYRG0L-R,BBG006G063F9,2
SP500,JYWMBW-R,BBG000CKGBP2,2
SP500,J70N5J-R,BBG000BQVTF5,2
SP500,J70ZTV-R,BBG000BH1NH9,2
SP500,J89J6Y-R,BBG000BNWG87,2
SP500,J994MP-R,BBG000H8TVT2,2
SP500,J9F59G-R,BBG000BB5373,2
SP500,JFW5HZ-R,BBG000FP1N32,2
SP500,JKDM7P-R,BBG000BMFFQ0,2
SP500,JKGP5M-R,BBG000C1FB75,2
SP500,JLJ0VZ-R,BBG000C6CFJ5,2
SP500,JMHYW0-R,BBG000BR14K5,2
SP500,JMNLQC-R,BBG000BFT2L4,2
SP500,JPTF52-R,BBG000BMKDM3,2
SP500,JQZ00G-R,BBG000BKFBD7,2
SP500,JRFYNM-R,BBG001DCCGR8,2
SP500,GYM5PB-R,BBG0019LSQ49,2
