,fsym_id,exdate,bbg_id,in_index,listing_currency
223,GQHWDG-R,2021-02-19,BBG000BST2P2,0,USD
224,GQN0DG-R,2021-04-28,BBG000BXT422,0,USD
225,GRNSJT-R,2021-02-11,BBG00H609HX2,0,USD
226,GRRFYN-R,2021-02-05,BBG000BX3TD3,1,USD
227,GRRSLZ-R,2021-02-05,BBG000BWQGX6,0,USD
228,GRS126-R,2021-02-11,BBG000C1S4V0,0,USD
229,GRSHZN-R,2021-02-25,BBG000BPBR63,0,USD
230,GS3RJ8-R,2021-02-12,BBG000BY2Y78,1,USD
231,GSRK8V-R,2021-03-11,BBG000D0SMY8,0,USD
232,GSWHTK-R,2021-02-25,BBG000HG21Y3,0,USD
233,GSWXLY-R,2021-02-05,BBG000D8KTN6,0,USD
234,GTWXR1-R,2021-02-26,BBG000CZ62D3,1,CAD
235,GTX249-R,2021-02-26,BBG000GDSKT7,0,USD
236,GVCLVY-R,2021-03-10,BBG000SR92R6,1,CAD
237,GX4PTJ-R,2021-02-04,BBG000BMBGV6,0,USD
238,GX5LJC-R,2021-02-11,BBG000BYYLS8,1,USD
239,GX9WQD-R,2021-02-25,BBG000BK0KS7,0,USD
240,GXCVG7-R,2021-04-29,BBG000M8S4W3,0,CAD
241,GY928Q-R,2021-01-29,BBG000N22GR2,0,USD
242,GYJ1QD-R,2021-04-29,BBG000QDT8Z5,1,CAD
243,GYZ2VY-R,2019-11-21,BBG000RMS5J9,0,USD
244,GZF20K-R,2021-02-17,BBG000BM5SR2,1,USD
245,GZFZSF-R,2021-02-11,BBG000CC53X1,0,USD
246,GZKHGQ-R,2021-03-16,BBG000C1XVK6,1,USD
247,H0P6P9-R,2021-02-18,BBG000D2ZTS8,1,USD
248,H0PVXX-R,2021-02-25,BBG000BPX941,0,USD
249,H0PWZY-R,2021-02-02,BBG000BJ6X42,0,USD
250,H1PLJR-R,2021-02-11,BBG000BHKJQ7,0,USD
251,H1W6C4-R,2021-02-11,BBG000TGPLG1,0,USD
252,H1W6XP-R,2021-02-16,BBG00GSNPM07,0,USD
253,H1YRLX-R,2021-02-19,BBG000RNBH63,0,USD
254,H2VPCM-R,2021-02-10,BBG000BBGGQ1,1,USD
255,H324PP-R,2021-03-30,BBG000H2SMB5,0,USD
256,H53DB1-R,2021-03-02,BBG000FZXRC6,0,CAD
257,H59VN3-R,2021-02-25,BBG000Q6DFZ1,1,CAD
258,H69CWS-R,2021-03-03,BBG002PHSYX9,1,USD
259,H7HFJJ-R,2008-11-03,BBG000LSYD99,0,USD
260,H7HS5V-R,2021-02-26,BBG000BK1C95,0,USD
261,H7K6Y6-R,2021-02-26,BBG000H35J52,0,USD
262,H8PG48-R,2021-02-09,BBG000BT0093,0,USD
263,H9S7KZ-R,2021-02-12,BBG000BLZD12,0,USD
264,H9XNHM-R,2021-02-03,BBG000QG9SX8,0,USD
265,HBS5L0-R,2021-03-04,BBG000CYTZ93,0,USD
266,HBSRPK-R,2021-02-09,BBG000C1DD28,0,USD
267,HCKJJC-R,2021-02-25,BBG000NTPHW0,0,CAD
268,HCXCQ1-R,2021-04-01,BBG000BH2W88,1,CAD
269,HF1P15-R,2021-02-26,BBG000BJ49H3,1,USD
270,HF23WL-R,2021-02-26,BBG000C4Z6C2,0,USD
271,HHB176-R,2021-02-19,BBG000CS0DM1,0,USD
272,HHC265-R,2021-02-02,BBG000BKV9Y1,0,USD
273,HHD5YV-R,2021-02-26,BBG000G7CDN9,0,USD
274,HHGP2K-R,2021-02-12,BBG000C43744,0,USD
275,HJXXH4-R,2021-02-25,BBG001KJ2HM9,1,USD
276,HKL732-R,2021-03-15,BBG000BLP360,0,USD
277,HKMKNB-R,2021-02-11,BBG000BW7X97,0,USD
278,HKRSQ9-R,2021-02-25,BBG000BS7ZF4,0,USD
279,HLDF9W-R,2021-04-29,BBG004CDX4P7,0,CAD
280,HLRH83-R,2021-02-17,BBG000JKM045,0,USD
281,HP13ZD-R,2021-02-10,BBG008NXC572,1,USD
282,HP55Q6-R,2021-03-25,BBG000BJCC41,1,CAD
283,HP79S6-R,2021-04-20,BBG000PKBR05,0,CAD
284,HQ2MHF-R,2021-02-23,BBG00LNJRQ09,1,USD
285,HR8JBJ-R,2020-05-29,BBG000BVWG98,0,USD
286,HSF35X-R,2021-01-07,BBG000BNNKG9,1,USD
287,HSFL3C-R,2021-02-18,BBG000BRJ809,1,USD
288,HSJS6C-R,2021-03-18,BBG000BW8GN7,0,CAD
289,HSKDCY-R,2021-02-11,BBG000DZJVH0,0,USD
290,HTJJW7-R,2021-02-05,BBG000BKQ254,0,USD
291,HTKLX7-R,2021-02-16,BBG000BRGWN4,0,USD
292,HVP7ZR-R,2021-02-11,BBG000KDLS30,0,USD
293,HXZN4R-R,2021-03-18,BBG000BHJSC4,0,USD
294,HZ6Z7Q-R,2021-02-04,BBG000C0G1D1,1,USD
295,HZDTJB-R,2021-04-20,BBG001CGD2R0,0,USD
296,J06Y9S-R,2021-02-04,BBG000BWSGF4,0,USD
297,J0FV3X-R,2021-02-25,BBG00HTVK2F9,0,CAD
298,J2MW73-R,2021-02-10,BBG000L4M7F1,1,USD
299,J2ND6L-R,2021-03-11,BBG000BXK6C5,0,USD
300,J3M85M-R,2021-02-11,BBG000BQNM78,0,USD
301,J70N5J-R,2021-02-08,BBG000BQVTF5,1,USD
302,J71550-R,2021-03-29,BBG000BCQV12,1,CAD
303,J71671-R,2021-02-08,BBG000BWMX63,0,USD
304,J75D6Z-R,2021-02-03,BBG000BMLWX8,1,USD
305,J76NN5-R,2020-11-27,BBG000C6XKK9,0,USD
306,J7ZVTX-R,2021-04-29,BBG004SNMZC5,0,CAD
307,J994MP-R,2021-02-16,BBG000H8TVT2,1,USD
308,J9NNLH-R,2021-02-11,BBG000MTDW24,0,USD
309,JBFXW8-R,2021-02-23,BBG00DK7NM27,0,USD
310,JBXH5G-R,2021-02-25,BBG00KDYT8C4,0,USD
311,JCNM95-R,2021-02-26,BBG00GD1JMV4,0,USD
312,JDDDQJ-R,2021-02-17,BBG009CL5J76,1,CAD
313,JDJR0M-R,2021-03-30,BBG00KKD5N44,0,CAD
314,JDPV6W-R,2021-03-10,BBG000B9YY14,0,USD
315,JDV16T-R,2021-03-11,BBG000BZTJQ8,1,CAD
316,JDVMBC-R,2021-04-29,BBG000C665J4,1,CAD
317,JFW6L0-R,2021-02-11,BBG000BSZ738,0,USD
318,JH09HY-R,2021-04-09,BBG000BBVVP2,0,USD
319,JJ3FLZ-R,2021-03-04,BBG000BSMFN2,0,USD
320,JJ3Q47-R,2021-02-11,BBG000BDRR63,1,USD
321,JJ81D9-R,2021-02-12,BBG000BRVP70,1,USD
322,JJ8SV0-R,2021-02-08,BBG000BMWKC5,0,USD
323,JKDM7P-R,2021-02-25,BBG000BMFFQ0,1,USD
324,JLJ0VZ-R,2021-03-01,BBG000C6CFJ5,1,USD
325,JLJ8B6-R,2020-11-09,BBG000H3K6B6,0,USD
326,JM9MDP-R,2021-04-29,BBG00CWWQGZ5,0,CAD
327,JMHXSZ-R,2021-03-04,BBG000BDVMB3,0,USD
328,JMK1Z1-R,2021-02-08,BBG000BRR481,0,USD
329,JMMVP1-R,2021-02-25,BBG00QDWSVK6,0,CAD
330,JPTF52-R,2021-03-01,BBG000BMKDM3,1,USD
331,JQXKJC-R,2021-02-05,BBG00Q8J72J0,0,USD
332,JR251F-R,2020-02-06,BBG000NMJFC8,0,USD
